text,sentiment
Nyaman untuk olahraga. Harga Bersaing ??. Dijamin Termurah.,1
isi tidak penuh dan tidak ada wangi nya. segel hanya pakai solatip seadanya,0
knop kanan gabisa diputar,0
ga sesuai foto .. dan bahan bukan kulit lembu BOHONG,0
mantaaaaap jaya gan sukses dalam bisnis ini sangat penting untuk menjaga kualitas terbaik dan termurah dengan fitur rentang pencarian harga,1
Padahal udah tanya sebelumnya sama penjualnya ada ga balon warna gold dama silver ? Kalo ada mau pesen balo gold sama silvernya aja 10 pcs. Yang dateng warna warni kayak gini. Sebelumnya udah chating katanya oke hufth padahal udah 2 kali beli di sini baru kali ini aku kecewa,0
"tokonya songgong brg rusak minta dibebanin ke konsumen, ngak usah jd penjual kalo bubble dibebankan ke. pembeli",0
"Buku pasti ori, sesuai pesanan, proses pengiriman cepat, dapet harga murah pas bookcarnaval.",1
makasihhhhhhhhhhhhhhhhhhhhhhhhhh,1
"Barangnya udh sampe, suka banget sama dompetnya, bahannya jga bagus, semoga aweeettt , 90% bagus bgt. Kualitas produk bagus ??. Desainnya cantik ??. Warnanya cantik ??. Jahitan rapi. Bahannya lembut.",1
"bahan ny sih bagus, cm sayang pesen nya 2 datang ny 1. d chat ke seller ny jg d d baca, boro-boro ada penjelasan. seller g asiiiik g bs d ajak komunikasi",0
Barang bagus sesuai deskripsi,1
percuma pakai box extended... kardus unitnya tetap aja penyot kecewa lah... kasih bobble warp kek...??????,0
"barang lama sampai, tidak sesuai dengan timeline",0
"barang bagus, gak mudah robek, bahan plastik.....",1
"besi disalah satu sisi gak bisa diatur panjang pendeknya karena sudah dol jadi alat gak bisa digunakan, mengecewakan sekali",0
ternyata sablonnya tidak sesuai dengan gambar huhu,0
Baru sehari udh basi T_T,0
"Alhamdulillah cepat sekali pengirimannya. Seller ramah, packing rapi, produk kondisi sangat baik. Tebalnya pas dan bahannya ok, sesuai perkiraan????Terima kasih",1
"Orderan yg ke 3 kali, selalu puas, unit bor nya mantap, seller ramah gercep, kurir cepat, next order lagi..",1
"SANGAT KECEWA ..!!! INI REAL YG SAYA ALAMI ... SILAHKAN BACA CHAT SAYA DGN SELLER INI SEBELUM MEMBELI, BARANG DIKIRIM TIDAK SESUAI PESANAN, SUDAH DIRETUR, TAPI CERDIKNYA SELLER TIDAK MENGIRIMKAN PESANAN SAYA YG SEHARUSNYA SAYA PESAN.. SUDAH 15 HARIII LHOO GUYS..UANG TIDAK KEMBALI, BARANG PUN TIDAK SAMPAI.. HAHA..SILAHKAN SAJA JIKA SELLER SANGGUP BAWA KE AKHIRAT.. SEMOGA KALIAN TIDAK TERTIPU SEPERTI SAYA..",0
Repurchase warna yg beda. Toko fast respond dan sesuai review sebelumnya bahwa item sesuai dan bahan bagus lgsg menyerap ke bahan canvas. Sukses selalu????????????,1
"langganan bulanan, recommended????? i",1
"barang jelek, patah 1 , diisi gas bocor",0
"kecewa banget pengiriman hanya dibungkus buble wrap doang sehinga ptodak ada yg pecah , dan ada prodak yg bocor tetap dikirim ketika dikomplain disuruh kirim balik bayar ongkosnya rp 10 ribu tapi dikembalikan hanya rp 6 ribu sj , quality kontrolnya jelek , pengemasan nya seadanya sj",0
pengiriman lama sekali,0
"beli pertama warna biru, packing hanya plastik hitam. kurir instant datang2 lemas, katanya paket sempat jatuh dan terseret sedikit, plastik dan bantal sobek. kurir beratnggung jawab dan pesankan lagi warna hitam pakai toko online lain. hari ini tiba sama aja cuma dimasukkan plastik kresek padahal bukan instant dan setelah dibuka ada sobek pada sarung bantalnya. boleh sedikit usaha bungkus agak tebalan lah, pakai bubble wrap murah kok. kalau yang pertama pakai bubble wrap pasti ngga akan sobek plastik dan sarung bantalnya. barang lumayan karena pelit packing ya beginilah.",0
"microphone tidak bekerja, sisi kiri kurang bassnya",0
"Berfungsi dengan baik, packing aman",1
"sangat sangat mengecewakan gak bisa di cas powerbank. Dan kata nya garansi malah ongkos kirim kita di suruh tanggung sendiri. Ya rugi parah lah ongkir dari Batam itu kesitu 35 belum lagi kenak pajak 30,%. Ditanya solusi lain gak respon",0
kusutt datengnya pink.. padahal sudah d notr biruu.. ga bisa baca kayanya ni penjual..,0
"nggak recomended saya sdh tes wtnya katany jarak 1km, ini 100 meter saja sdh gangguan",0
"Hore dpt harga kejar diskon.. trnyata produk ori, paking aman, isiny byk n pulpen ny enak d pakai.. anak juga suka bgt.. makasih joyko",1
"Pakai Lem ini hati�. Pastikan penataannya balon sebelum dipasang, kalau nda ga bisa dicabut. bisa dicabut tp resiko pecah. MANTUL tingkat kerekatannya...",1
saya tidak menerima produk sama sekali dari kurir dan kurir tidak menelfon saya kalo barang sudah diantarkan dan dititipkan di siapa karena saya belum menerima paket saya saya mengajukan komplain,0
bahannya kelihatan murah,0
"Pelayanan sangat2 buruk sekali, sangat tdk menghargai customer jd males belanja lg disini",0
mantap...wangi...udah beli beberapa kali. Aman juga untuk hewan...,1
Pemesanan kedua tapi hasilnya tidak rapi dan mengecewakan. Laminatingnya mengelupas di pinggir2 dan potongannya tidak rapi. Bolongan juga menonjol dan acak2an.,0
Cukup baik hanya ukurannya tidak tercantumkan,1
"bagus lah ini, tombol nya anti kepencet� sendiri karna kalau mau pause / play mesti Double tap. beda sama yg under 200rban atau merk n*kia.Kualitas bahan bagus. Harganya bersaing. Packing Bagus. kelengkapan sesuai.",1
"Prtama brgnya dtg cman bsa nyala sebelah dan gk bsa charge.. mnta garansi tuker baru, malah lbh parah gk bsa nyala kduanya.. gila lah kapok buangin uang aja",0
"paket cepat sampai, bagus, danrapih, trimakasih kakak.Warnanya bagus ??. Ukuran sesuai. Jahitannya rapi.",1
"respon cepat, kiriman cepat, barang sesuai, recommended seller",1
"Mienya enak Favorit keluarga. Sudah langganan beli mie sedap di toko OS , packing rapi dan dpt bonus. makasih ya????",1
"bertanya 43, dijawab ready, dikirim 38, tuker ga boleh.. kecewa sangat",0
"Sesuai foto, sampainya lebih cepat dari yg dijadwalkan",1
Yg satu kuasnya diangkat sudah dalam keadaan patah /lepas.. brushnya nyemplung di dalam.. Mohon dicek kembali sblm dikirim,0
Bahanny ga enak,0
"Pengirimannya sih cepat, tapi barangnya bruntusan gitu. Teman saya juga beli drum pad bahan karet dari malang tapi alus kok, ini yg saya beli malah bruntusan begitu. Ekspetasi saya tadinya bagus malah dapatnya yg jelekkan. Tdk sesuai foto yg di pajang oleh penjual.",0
"botolnya kurang proper, mudah sekali tumpah",0
sudah langganan beli mini gold disini ??,1
"Yang datang bukan yang keluaran terbaru yang ada butiran berwarna biru didalam gel hand sanitizer-nya, sedikit kecewa walau manfaatnya sama, hanya saja yang keluaran terbaru terlihat lebih menarik karena ada butiran berwarna birunya, padahal di foto produk sudah ada butiran birunya. Kecewa banget, mau mesan lagi takut yg datang sama aja barangnya dengan yang ada. Sedih.",0
bahannya enak gak gerah dipakainya.,1
"AMAZING!! Respon seller cepat. Barang ori seperti di foto dan sesuai deskripsi. Proses pengiriman kilat banget.. Thank you yaa kak, sukses selalu :)",1
"Seller kirim barang kurang, beli 24 datang hanya 21, dikomplain baik2 malah bilang ga mungkin, nuduh buyer bohong padahal cuma uang 50rb an selisihnya, coba cek tuh sistem sortir disananya, ga bikin kaya kalo cuma mau nilep 50rb an mah",0
"barang original, packaging aman.",1
"kecewa, respon tokonya lama....pengiriman sameday, order sebelum jam 12 malah di kirim besoknya, di chat dari pagi dijawab malam. Kapok",0
"Saya puas dengan kacamatanya. Lagi pikir kalau pakai kaca asli ok tidak. Harganya memang sedikit lebih mahal dibanding yg lain, tapi so far kualitas bagus. Ringan pula. Enak dipakai.",1
tidak ada talinya??,0
"packingnya cuma kardus aja, jadi ada bagian laci yg pecah",0
Knuckles karetnya agak kurang nyaman terus pelayananya slow respon,0
ikan bagus dan sehat. mantaaaaap,1
"ikat pinggangnya sendiri sih baiklah. yang masalah kepala ikat pinggangnya. Yang saya terima dibeberapa bagian cat mengelupas. Hal lain, setelah dipake, susah dilepas, ungkitan untuk menaikkan penahan ikat pinggangnya tidak mau terangkat. Repot saat mau ganti pakaian.",0
patah kaitannya gak bsa dipake deh,0
baru 3 hari udh ga ngegrip,0
pengiriman sangat lama,0
gak sesuai dengan gambar promo. contoh nya di gbar promo ada 3 pcs warna yg berbeda trus pas datang barang kok ke 3 nya semua warnanya sama semua,0
hancur patah patah semua,0
Puas dengan barangnya,1
"kualitas pelayanan sama kayak pedagang emperan, atau bahkan lebih rendah,,, jangan beli di toko ini kalo tidak ingin kecewa, non ori, bukan agen atau distributor resmi jika dilihat dr pelayanannya sebagai info ya: barang tidak belum sy terima, dan sy membayar atas kualitas yang diberikan, jd harga pelayanan kalian hanya senilai 6000, kecil sekali ya????",0
lumayan buat dipake hari2 tp ga ada certificatenya,1
obatnya cocok buat doggy yg berjamur . sdh beli beberapa kali,1
"Alhamdulillah untuk barang sangat sangat bagus, sudah beli 2 kali. pesanan di proses dengan sangat cepat??????????????????????????????????????????",1
"Sama sekali ga bisa dipakai, pas dicolokin ke laptop bisa nyala, abis masukin cd, cd tidak terbaca, pas mau dikeluarin cd-nya ga bisa, skrg cd saya masih didalem external cd ini, hadeehh jadi nambah urusan",0
palsu ya. g berfungsi. bahan kasar dan sakit kalo dipakai.,0
"4 dari 10 kaca plastik yang saya pesan rusak. Itu berarti 40% barang yang saya terima adalah barang cacat. Toko ini tidak bisa dipercaya, dan hanya menawarkan ganti rugi sebesar 2 ribu per item barang rusak, atau sekitar 30% dari harga beli saja. Itupun melalui proses yang berbelit belit. Jadilah toko yang bisa dipercaya",0
"barang tidak sesuai, yg dipesan sarung tangan n yg dikirim peluru... tolong lebih teliti merespon pesanan....",0
Bahan nya panas dan kegedean banget gak sesuai dengan berat Negativean yg d estimasikan,0
"Sangat Kecewa,, beli 3 Pcs dan kemasan semuanya bolong sperti d gigit tikus",0
keren sdh tiba kartu Remi Nya Packaging aman ??.,1
"Respon dan pengiriman sangat cepat, sangat rekomen dan pasti akan belanja di toko ini lagi.",1
barang udah sampai ya gan dan berfungsi. terima kasih,1
Pengiriman lama dan tidak ada cara perakitan box yang susah.,0
"Pengiriman cepat, seller responsif ??",1
Packing rapih terimakasih,1
"ukuran kecil banget ,katanya jumbo( XXL)",0
"Mantap, kalau di cium aromanya sedikit ada perubahan dari yang sebelumnya.",1
"bagus balon2nya merekat di dinding atap. seller responsif, langsung kirim sesuai pesanan, pagi pesen siang sampai bahkan pesanan ada yg dilebihin.",1
"Barang sesuai harapan, muat banyak barang sehingga membuat meja rias lebih rapi",1
"tidak recommended , hanya memikirkan untung , tidak memikirkan keluhan konsumen",0
puas blnj disni.bsok bli lgi.peking jga bgus.free kardus dan bubble didlamnya.trimksih,1
barang sesuai Terima kasih,1
"percuma tambah packing klo kardus susu tetap penyok.. cara kemas tuh jangan ngepres sama kardusnya, biar ketika kardus ketekan, kemasan susunya tidak rusak langsung...",0
"thanks barang udh sampe cepet bgd tp maaf blm coba barangnya dan blm sempat foto,,kurir juga oke, thanks gan moga bermanfaat",1
Harga di struk yang dimasukkan di kotaknya beda dengan harga yang ditampilkan di tokopedia. Kok bisa harganya lebih mahal ya? Di struk beda jauh harganya,0
"respon seller sangat baik, catnya tidak berbau, warnanya sesuai order cheese cruse. pakingnya sangat baik. semoga pas diaplikasikan tidak mengecewakan hasilnya. gosend nya juga tepat waktu. Terima kasih ????",1
"mantap, sesuai, cepat sampai, kualitas cakep juga",1
"Pengiriman cepat,pesanan sesuai, packing aman,baru mau coba mbakoan next cari Bako yg rasa lain,Mtr nuwun",1
Kualitas kaos kakinya bagus dan tebal.,1
Barang datang dalam keadaan penyok,0
l2 r2 trigger nya ampas macam ***,0
"Gokil! Harga murah, kualitas oke punya",1
"payah yang dikirim kecil2, diterima byk mati sengaja pilih official dan harga mahal tau gitu pilih yang 2500 aj di toko lain, sama aja hasilnya",0
"seller super ramah, nanya apapun dibalas, kooperatif, sukses terus gaaaan mantap ??????????????????",1
"mantap, biar bisa bernostalgia eranya masih maen rame� dulu pas jaman masih liburan sekolah",1
"UDAH DI CHAT ,DITULIS DI DESKRIPSI, UDAH DIKONFIRMASI ULANG MASIH AJA DIKIRIM WARNA PUTIH JELAS JELAS ORDER FULL BLACK, DAN PENGIRIMAN LAMA BANGET. *TIDAK AMANAH*",0
"klo bisa di test dulu , minimal nyala .kondisi barang yg sampai ke saya tidak bisa nyala , ada komponen dioda yg gak terpasang di power 5v input.overall sih ok , bisa sy perbaiki dari pada retur.thanks",0
beli 2 tp gak dikirim,0
sudah diterima dengan baik mantafffffffffffff,1
selalu puas dan langganan pengiriman super cepat top pokoknya??,1
"bisa hidup, tapi ga bisa ngecharge, di biarkan seharian batetai tidak terisi, berharap banyak sama alat ini, supaya stick nya anak anak bisa terpakai 2-2 nya",0
kurang bagus..kurang pas sama fotonya,0
"kecewa order disini beli produk kenmaster tapi yg dikirim label yang berbeda dengan foto di etalase produk, bulu tipis dan ternyata gagang tidak bisa diperpanjang pula",0
Secara keseluruhan sudah bagus namun bagian dalam kadang suka copot copot,1
"sayang banget analog kanan sama tombol arah ngga berfungsi,alangkah baiknya di tes dulu sebelum kirim",0
"barang tidak sesuai di iklan padahal saya memberi pesan saya melalui catatan pada penjual, saya pesan yang nomor ikan cupang sekian ada dlm catatan",0
"maaf nih, wanginya kaya body lotion citra, malahan masih lebih wangi body lotion ?? emang sih harga murah, tapi menurut saya tetep ga worthed",0
dipaksa beli. setelah checkout hati2 saja sama toko ini.,0
"bagian saku kiri kemeja, nampak sobek, tidak dijahit, ada bolong. sehingga kami harus menjahit saku kemeja kiri ini. Semoga untuk pembeli berikutnya, cacat pada pakaian ini dapat diperbaiki atau tidak dijual kepada pembeli, jadi tidak mengulangi lagi kesalahan yang sama. Terima kasih atas waktu & perhatiannya.",0
gk bisa di pakai tali krng panjang,0
"warna nya cantik, tp potongannya ga rapi. jd sperti barang reject gtu, maaf ya. tp sy ga puas sih dg barang ini",0
"barang sudah sampai, tapi salah satu lensanya ada yang tergores ditengahnya :(",0
"Chat tidak di balas, Kuota yang di janjikan 50gb nya tidak masuk, hancur la Parah parah",0
HIGHLY NOT RECOMENDED SELLER! pesan apa yang dikirim apa. tidak ada itikad baik tanggung jawab dr seller. mohon teman2 yang lain agar lebih berhati2 ya.,0
"packing hanya pakai selembar plastik kresek, kertas basah semua",0
"Alhamdulillah sudah sampai sabuknya, keren cepet nyampenya pada hal baru kemaren sore pesannya .",1
Not recommended seller,0
"diterima dalam keadaan dus terbuka... biasanya dus nya rapih tebel di packing bagus... sekarang diterima dalam keadaan dus kebuka sobek dan penyok dapet bonus tp lecek kelipet karna packing ga niat di untel2 sama barang nya, kaya ga niat ngasih... jd ga berguna bonus nya padahal bagus",0
"riject bener2 kecewa, langganan bukan cuma beli sekali tapi barang ga di cek saat mau packing",0
Terima kasih atas pelayanannya yg memuaskan. Sukses selalu,1
Puas. Barang diterima dengan kondisi Baik dan tidak ada kendala.,1
"pengirimannya cepet banget, aku pesen kemarin hari ini udah sampe. barangnya juga aman, no damage samsek. mantappp??????",1
"dalam kondisi mati lampu hijaunya tetap hidup, sampai-sampai batrainya berkurang tampa di pakai",0
sesuai dg deskripsi produk,1
"barang ada yg gk sampe , ud complain juga , tetep aja , rugi belanja disini",0
Pesen ini tp stok habis kecewa,0
baru dipakai 1 bulan sudah rusak,0
"isi buku sangat berkualitas. buku diterima baik walaupun packaging hanya dibungkus bubble wrap. beruntung tidak basah kehujanan, packaging perlu ditingkatkan keamanannya.",1
"dikasi bonus gratisan hair mask serie expert, tapi uda expire barangnya, pas dipake bikin kepala ketombean.. kl ga niat ngasih gratisan, mending ga usah sih drpd bikin rusak rambut orang",0
Pengiriman lama,0
"fast respon, barang bagus panasnya juga bagus",1
terbaik lah pokoknya. packing lakban doang rapih banget. keren ?? lakbannya juga rekat banget,1
Jahitan rapi.,1
"Selalu puas belanja disini, udah ketiga kalinya beli disini. Pengiriman cepat, respon cepat.",1
ya cukup puas makasih ??,1
"Barang dateng pake kurir toko, di unboxing trnyt ad lecet/baret ampe besi ny keliatan sesuai dengan foto yg saya ambil. Dlm chat dgn owner tidak ad pertanggung jwban, chat sy cm di read dr smnjk kmrn mlm (6 april 2020 jam 8an mlm, smpe skg tgl 7 april 2020 jam 16.30an)",0
"Barang gampang rusak,jarumnya lepas terlempar",0
"gak ada pengaruh, kutu msih hidup, sdh saya tes langsung. merasa ditipu nih, semoga dapat karma dah lu",0
"pelayanan buruk sekali, pengiriman barang buruk sekali dan lama banget sampainya. kapok beli disini lagi gak lagi-lagi",0
Terima kasih Kak...paketnya cepat sampai dan kondisinya bagus. semogq makin sukses ya Kak...,1
"Kualitas kurmanya top. Dagingnya tebal dan lembut. Packing bagus, setelah tutup box dibuka kurma masih dibungkus plastik. Mau order lagi",1
"bagus barangnya ga cacat, pelindungnya tebel, pengirimannya cepet banget",1
"paket sdh sy terima, belum dicoba smg anak sy suka, semoga berfungsi dan awet, makasih ya kak",1
ini si bukan mobil hotwheels. nggak sesuai sama iklan. mengecewakan,0
secara overall ok banget,1
waahh keren n' mantap barangnya..pengiriman cepet banget cuma 1 hari udah nyampe..thanks gan,1
"Salah kirim warna, sy minta warna Pink, Biru, Hitam > yg dikirim Merah, Hijau, Hitam & lampu LED tdk nyala !!",0
"panduan instal nya lengkap,gamenya bagus,sellernya fast respon mantap suksess terus",1
"Sesuai dg deskrip yg jual, packing bagus, dan tidak ada cacat, nanti sy mau pesan lagi.",1
"sangat kecewa, pengiriman lama banget, barang nya juga rusak dan penyok, jangan tergiur sama harga murah ya teman-teman",0
yg dikirim botol tdk sesuai photo produk..,0
Barang diterima dengan baik. Tapi sayang baterenya uda soak,0
Lumayan lah untuk harga segini,1
"sudah jelas di foto 1 botol pecah,,, masa barang pecah harus tetap di kirim ke toko nya,,, kalau tidak di kirim tidak akan di ganti barang atau kembali kan uang,,,",0
"Jujur kecewa, 1. Pengiriman sangat terlambat. 2. Lampu LED kualitasnya sangat buruk, pakai kurang lebih 15 menit langsung mati, tak terpakai lagi. 3. Akrilik hitam seperti yang dijanjikan tidak ada. 4. Ada harga ada rupa.5. It's a Negative Negative deal afterall.",0
packaging nya cuma plastik item itupun sobek pas baru diterima,0
"beli 2 SSD, 1 diterima dalam kondisi rusak",0
"Sori to say, review jujur ini bikin kecewa pelanggan sih. Barang habis tapi tidak dikonfirmasi dulu sblm dikirim. Min, mon maap kan ada teknologi chat di aplikasi ya, knp kok ngga konfirmasi dulu di chat? Saya sudah terlanjur klik pesanan selesai, tidak bisa ajukan pengembalian dana. Pembeli yg lain silakan dicermati kalau mau beli disini ya, hati2. Makasih.",0
Tidak sama dgn gambar,0
"tipis, agak kaku, jadi dipakai kurang nyaman",0
"lain kali sebelum kirim barang di cek dulu.. berfungsi atau tidak.. pertama dinamo ny tidak ada yaa walaupun seller kirim dinamo nya tapii tetep tidak berfungsi motor nya.. lampu, musik, tombol, dan mesin ny gk nyala.. udh di ces berhari ttep ajh gk mau nyala..",0
"Barang -1, chat no resp",0
Tidak sesuai dengan apa yang dibayangkan,0
